id,name.ko,name.en,kind,category,color,sprite,unlock_day,unlock_when,shop_price,desc.ko,desc.en,default_action,prep_action,default_target_qty,default_target_unit,shelf_group,liquid_alpha,dataset_id,row_id,parent_id,parent_field,source_order,template_id
brandy,브랜디,Brandy,ingredient,base,"170,90,35",\N,2,\N,\N,포도를 증류한 온기. 잔을 데우는 술.,Distilled warmth of the grape. A spirit that warms the glass.,pour,\N,1,oz,liquor,0.75,shelf_items,shelf_items_brandy,@shelf_items,\N,20,shelf_items_format_01
amaretto,아마레토,Amaretto,ingredient,liqueur,"135,75,35",\N,2,\N,\N,살구씨의 달콤쌉싸름한 향.,Bittersweet aroma of apricot kernels.,pour,\N,1,oz,liquor,0.75,shelf_items,shelf_items_amaretto,@shelf_items,\N,21,shelf_items_format_01
cream,크림,Cream,ingredient,dairy,"240,228,205",\N,2,\N,15,무엇이든 부드럽게 감싸는 마무리.,A finish that softens everything it touches.,pour,\N,1,oz,fridge,1,shelf_items,shelf_items_cream,@shelf_items,\N,22,shelf_items_format_03
green_peppermint,그린페퍼민트,Green Peppermint,ingredient,liqueur,"45,160,110",\N,3,\N,\N,초록빛 박하. 한 모금의 냉기.,Green mint. A sip of cold air.,pour,\N,1,oz,liquor,0.75,shelf_items,shelf_items_green_peppermint,@shelf_items,\N,23,shelf_items_format_01
white_cacao,화이트카카오,White Cacao,ingredient,liqueur,"232,220,188",\N,3,\N,\N,색을 지운 초콜릿 향.,Chocolate aroma with the color removed.,pour,\N,1,oz,liquor,0.35,shelf_items,shelf_items_white_cacao,@shelf_items,\N,24,shelf_items_format_01
coffee,커피,Coffee,ingredient,other,"70,45,30",\N,3,\N,15,새벽 바의 두 번째 연료.,The bar's second fuel after midnight.,pour,\N,1,oz,fridge,0.75,shelf_items,shelf_items_coffee,@shelf_items,\N,25,shelf_items_format_03
campari,캄파리,Campari,ingredient,liqueur,"200,45,45",\N,3,\N,\N,선명한 붉은색의 쓴맛. 어른의 입문 시험.,A vivid red bitterness. An entrance exam for adults.,pour,\N,1,oz,liquor,0.75,shelf_items,shelf_items_campari,@shelf_items,\N,26,shelf_items_format_01
blue_curacao,블루큐라소,Blue Curacao,ingredient,liqueur,"0,145,200",\N,3,\N,\N,오렌지 향의 파랑. 바다를 접어 넣은 병.,Orange-scented blue. A bottle with the sea folded in.,pour,\N,1,oz,liquor,0.75,shelf_items,shelf_items_blue_curacao,@shelf_items,\N,27,shelf_items_format_01
pineapple_juice,파인애플주스,Pineapple Juice,ingredient,juice,"235,200,75",\N,3,\N,25,트로피컬의 기본값.,The default setting of tropical.,pour,\N,1,oz,fridge,0.75,shelf_items,shelf_items_pineapple_juice,@shelf_items,\N,28,shelf_items_format_03
coconut_milk,코코넛우유,Coconut Milk,ingredient,dairy,"243,238,220",\N,3,\N,15,야자수 그늘의 맛.,Tastes like the shade of a palm tree.,pour,\N,1,oz,fridge,1,shelf_items,shelf_items_coconut_milk,@shelf_items,\N,29,shelf_items_format_03
peach_brandy,피치브랜디,Peach Brandy,ingredient,liqueur,"225,145,100",\N,3,\N,\N,복숭아의 단내를 증류한 리큐르.,A liqueur distilled from the sweetness of peaches.,pour,\N,1,oz,liquor,0.75,shelf_items,shelf_items_peach_brandy,@shelf_items,\N,30,shelf_items_format_01
melon_liqueur,멜론리큐르,Melon Liqueur,ingredient,liqueur,"130,190,55",\N,3,\N,\N,초록 멜론의 단맛.,The sweetness of green melon.,pour,\N,1,oz,liquor,0.75,shelf_items,shelf_items_melon_liqueur,@shelf_items,\N,31,shelf_items_format_01
malibu,말리부,Malibu,ingredient,liqueur,"242,238,220",\N,3,\N,\N,코코넛 향 럼. 휴양지의 지름길.,Coconut rum. A shortcut to the beach.,pour,\N,1,oz,liquor,0.35,shelf_items,shelf_items_malibu,@shelf_items,\N,32,shelf_items_format_01
banana_liqueur,바나나리큐르,Banana Liqueur,ingredient,liqueur,"235,205,65",\N,3,\N,\N,노란 단맛의 마무리 담당.,A yellow sweetness for the finishing touch.,pour,\N,1,oz,liquor,0.75,shelf_items,shelf_items_banana_liqueur,@shelf_items,\N,33,shelf_items_format_01
cocktail,칵테일잔,Cocktail Glass,glass,\N,\N,glass_cocktail,0,\N,\N,역삼각형의 그 잔. 격식의 상징.,The inverted triangle. A symbol of formality.,\N,\N,\N,\N,\N,\N,shelf_items,shelf_items_cocktail,@shelf_items,\N,34,shelf_items_format_04
long_drink,롱드링크잔,Long Drink Glass,glass,\N,\N,glass_longdrink,0,\N,\N,길고 늘씬한 잔. 탄산 롱드링크의 표준.,Tall and slim. The standard for fizzy long drinks.,\N,\N,\N,\N,\N,\N,shelf_items,shelf_items_long_drink,@shelf_items,\N,35,shelf_items_format_04
old_fashioned,올드패션잔,Old Fashioned Glass,glass,\N,\N,glass_oldfashioned,0,\N,\N,낮고 두꺼운 잔. 얼음과 독주의 자리.,Low and thick. A seat for ice and strong spirits.,\N,\N,\N,\N,\N,\N,shelf_items,shelf_items_old_fashioned,@shelf_items,\N,36,shelf_items_format_04
sour,사워잔,Sour Glass,glass,\N,\N,glass_sour,0,\N,\N,사워 칵테일 전용의 짧은 스템 잔.,A short-stemmed glass reserved for sours.,\N,\N,\N,\N,\N,\N,shelf_items,shelf_items_sour,@shelf_items,\N,37,shelf_items_format_04
wine,와인잔,Wine Glass,glass,\N,\N,glass_wine,0,\N,\N,다리가 긴 잔. 와인도 샴페인도 여기에.,A long-stemmed glass — for wine and champagne alike.,\N,\N,\N,\N,\N,\N,shelf_items,shelf_items_wine,@shelf_items,\N,38,shelf_items_format_04
mug,맥주잔,Beer Mug,glass,\N,\N,glass_mug,0,\N,\N,맥주·뮬 담당의 묵직한 잔.,A heavy glass for beer and mules.,\N,\N,\N,\N,\N,\N,shelf_items,shelf_items_mug,@shelf_items,\N,39,shelf_items_format_04
shaker,셰이커,Shaker,tool,\N,\N,tool_shaker,0,\N,\N,셰이킹 기믹용.,For the shaking gimmick.,\N,\N,\N,\N,\N,\N,shelf_items,shelf_items_shaker,@shelf_items,\N,40,shelf_items_format_04
mixing_glass,믹싱 글라스 & 바 스푼,Mixing Glass & Bar Spoon,tool,\N,\N,tool_mixing,0,\N,\N,스터 기믹용 — 잔에 붓기 전 여기서 젓는다.,For the stirring gimmick — stir here before pouring.,\N,\N,\N,\N,\N,\N,shelf_items,shelf_items_mixing_glass,@shelf_items,\N,41,shelf_items_format_04
