string_id,ko,en,dataset_id,row_id,parent_id,parent_field,source_order,template_id
ui_open_sign,영업 시작,OPEN,ui_strings,ui_strings_ui_open_sign,@ui_strings,\N,27,ui_strings_format_01
ui_closed_sign,준비 중,CLOSED,ui_strings,ui_strings_ui_closed_sign,@ui_strings,\N,28,ui_strings_format_01
ui_open_hint,간판을 걸면 손님이 들어온다,Flip the sign to let the guests in,ui_strings,ui_strings_ui_open_hint,@ui_strings,\N,29,ui_strings_format_01
ui_shelf_glass,잔,Glass,ui_strings,ui_strings_ui_shelf_glass,@ui_strings,\N,30,ui_strings_format_01
ui_shelf_tool,도구,Tools,ui_strings,ui_strings_ui_shelf_tool,@ui_strings,\N,31,ui_strings_format_01
ui_shelf_garnish,가니시,Garnish,ui_strings,ui_strings_ui_shelf_garnish,@ui_strings,\N,32,ui_strings_format_01
ui_shelf_ing,재료,Ingredients,ui_strings,ui_strings_ui_shelf_ing,@ui_strings,\N,33,ui_strings_format_01
ui_guest_name,손님,Guest,ui_strings,ui_strings_ui_guest_name,@ui_strings,\N,34,ui_strings_format_01
ui_toast_no_guest,응대할 손님이 없습니다,No guest to serve,ui_strings,ui_strings_ui_toast_no_guest,@ui_strings,\N,35,ui_strings_format_01
ui_toast_not_ordered,아직 주문을 받지 않았습니다,No order taken yet,ui_strings,ui_strings_ui_toast_not_ordered,@ui_strings,\N,36,ui_strings_format_01
ui_toast_serve_first,먼저 만든 칵테일을 서빙하세요,Serve the finished drink first,ui_strings,ui_strings_ui_toast_serve_first,@ui_strings,\N,37,ui_strings_format_01
ui_guest_list,손님 리스트,Guest List,ui_strings,ui_strings_ui_guest_list,@ui_strings,\N,38,ui_strings_format_01
ui_sales_report,매출 현황,Sales Report,ui_strings,ui_strings_ui_sales_report,@ui_strings,\N,39,ui_strings_format_01
ui_data_error_title,제조 데이터를 처리할 수 없습니다,Craft data could not be processed,ui_strings,ui_strings_ui_data_error_title,@ui_strings,\N,40,ui_strings_format_01
ui_data_error_body,제조 데이터를 처리하는 중 오류가 발생했습니다. 같은 제조 내용으로 다시 시도하거나 이번 제조를 취소할 수 있습니다.,An error occurred while processing the craft data. Retry with the same craft setup or cancel this craft.,ui_strings,ui_strings_ui_data_error_body,@ui_strings,\N,41,ui_strings_format_01
ui_return_to_title,타이틀로 돌아가기,Return to Title,ui_strings,ui_strings_ui_return_to_title,@ui_strings,\N,42,ui_strings_format_01
ui_data_error_retry,다시 시도,Retry,ui_strings,ui_strings_ui_data_error_retry,@ui_strings,\N,43,ui_strings_format_01
ui_data_error_cancel,제조 취소,Cancel Craft,ui_strings,ui_strings_ui_data_error_cancel,@ui_strings,\N,44,ui_strings_format_01
ui_data_error_repeat_body,같은 오류가 다시 발생했습니다. 진행 데이터 보호를 위해 안전하게 나간 뒤 이어하기로 다시 시작하는 것을 권장합니다.,"The same error occurred again. To protect your progress, we recommend exiting safely and resuming from Continue.",ui_strings,ui_strings_ui_data_error_repeat_body,@ui_strings,\N,45,ui_strings_format_01
ui_data_error_safe_exit,안전하게 나가기,Exit Safely,ui_strings,ui_strings_ui_data_error_safe_exit,@ui_strings,\N,46,ui_strings_format_01
ui_load,불러오기,Load,ui_strings,ui_strings_ui_load,@ui_strings,\N,47,ui_strings_format_01
ui_autosave,자동 저장,Autosave,ui_strings,ui_strings_ui_autosave,@ui_strings,\N,48,ui_strings_format_01
ui_manual_save,수동 저장,Manual Save,ui_strings,ui_strings_ui_manual_save,@ui_strings,\N,49,ui_strings_format_01
ui_empty_slot,빈 슬롯,Empty Slot,ui_strings,ui_strings_ui_empty_slot,@ui_strings,\N,50,ui_strings_format_01
ui_save_home_only,수동 저장은 집에서만 가능합니다.,Manual saving is only available at home.,ui_strings,ui_strings_ui_save_home_only,@ui_strings,\N,51,ui_strings_format_01
ui_home_exit,밖으로 나간다,Go Outside,ui_strings,ui_strings_ui_home_exit,@ui_strings,\N,52,ui_strings_format_01
ui_home_exit_blocked,지금은 집을 나갈 수 없습니다.,You cannot leave home right now.,ui_strings,ui_strings_ui_home_exit_blocked,@ui_strings,\N,53,ui_strings_format_01
ui_home_sleep_confirm,하루를 종료하시겠습니까?,End the day?,ui_strings,ui_strings_ui_home_sleep_confirm,@ui_strings,\N,54,ui_strings_format_01
ui_save_overwrite_confirm,이 슬롯에 덮어쓰시겠습니까?,Overwrite this save slot?,ui_strings,ui_strings_ui_save_overwrite_confirm,@ui_strings,\N,55,ui_strings_format_01
ui_save_success,저장되었습니다.,Game saved.,ui_strings,ui_strings_ui_save_success,@ui_strings,\N,56,ui_strings_format_01
ui_autosave_failed,자동 저장에 실패했습니다. 이전 자동 저장은 유지됩니다.,Autosave failed. Your previous autosave has been preserved.,ui_strings,ui_strings_ui_autosave_failed,@ui_strings,\N,57,ui_strings_format_01
ui_home_map_transition_failed,이동하지 못했습니다. 잠시 후 다시 시도해 주세요.,Unable to move to the next area. Please try again.,ui_strings,ui_strings_ui_home_map_transition_failed,@ui_strings,\N,58,ui_strings_format_01
ui_elevator_use,엘리베이터 이용,Use Elevator,ui_strings,ui_strings_ui_elevator_use,@ui_strings,\N,59,ui_strings_format_01
